"","X","Title","Author","Genre","My_Rating","Average_Rating","Pages","Original_Publication_Year","Date_Read","Month","Day","Year","Date_Added","SeasonColours","rating_gap"
"177",177,"Find Me (Call Me By Your Name, #2)","André Aciman","Lit-fic",3,3.27,260,2019,"12/26/2019",12,26,2019,"2019/12/25","#ca0020",-0.27
"178",178,"Ninth House (Alex Stern, #1)","Leigh Bardugo","Fantasy",3,4.03,461,2019,"12/23/2019",12,23,2019,"2019/12/08","#ca0020",-1.03
"179",179,"The Godmother","Hannelore Cayre","Mystery",4,3.74,186,2017,"10/22/2019",10,22,2019,"2019/10/09","#f4a582",0.26
"180",180,"Grand Union","Zadie Smith","Lit-fic",4,3.27,NA,2019,"12/18/2019",12,18,2019,"2019/07/15","#ca0020",0.73
"181",181,"Supper Club","Lara    Williams","Lit-fic",4,3.49,294,2019,"12/5/2019",12,5,2019,"2019/11/14","#ca0020",0.51
"182",182,"American Spy","Lauren Wilkinson","Lit-fic",4,3.5,292,2019,"12/2/2019",12,2,2019,"2019/07/15","#ca0020",0.5
"183",183,"Bunny","Mona Awad","Horror",5,3.53,307,2019,"12/2/2019",12,2,2019,"2019/11/14","#ca0020",1.47
"184",184,"Olive, Again (Olive Kitteridge, #2)","Elizabeth Strout","Lit-fic",5,4.11,289,2019,"11/26/2019",11,26,2019,"2019/07/15","#f4a582",0.89
"185",185,"Trust Exercise","Susan Choi","Lit-fic",3,3.14,257,2019,"11/18/2019",11,18,2019,"2019/05/25","#f4a582",-0.14
"186",186,"In the Dream House: A Memoir","Carmen Maria Machado","Non-fiction",4,4.44,264,2019,"11/14/2019",11,14,2019,"2019/07/01","#f4a582",-0.44
"187",187,"On Palestine","Noam Chomsky","Non-fiction",4,4.19,224,2015,"11/14/2019",11,14,2019,"2019/09/01","#f4a582",-0.19
"188",188,"The Lebs","Michael Mohammed Ahmad","Lit-fic",4,3.65,272,2018,"11/9/2019",11,9,2019,"2019/11/05","#f4a582",0.35
"189",189,"Census","Jesse Ball","Lit-fic",5,3.42,272,2018,"11/9/2019",11,9,2019,"2019/11/05","#f4a582",1.58
"190",190,"The Testaments (The Handmaid's Tale, #2)","Margaret Atwood","Lit-fic",4,4.19,422,2019,"11/2/2019",11,2,2019,"2019/10/22","#f4a582",-0.19
"191",191,"The Divers' Game","Jesse Ball","Lit-fic",5,3.45,240,2019,"10/29/2019",10,29,2019,"2019/07/15","#f4a582",1.55
"192",192,"Doxology","Nell Zink","Lit-fic",3,3.46,416,2019,"10/22/2019",10,22,2019,"2019/07/15","#f4a582",-0.46
"193",193,"French Exit","Patrick deWitt","Lit-fic",4,3.55,256,2018,"10/13/2019",10,13,2019,"2018/12/27","#f4a582",0.45
"194",194,"Beekeeper Of Sinjar","Dunya Mikhail","Lit-fic",5,4.09,224,2018,"9/24/2019",9,24,2019,"2019/09/24","#f4a582",0.91
"195",195,"Three Women","Lisa Taddeo","Non-fiction",5,3.72,306,2019,"9/8/2019",9,8,2019,"2019/05/07","#f4a582",1.28
"196",196,"The Raw Shark Texts","Steven  Hall","Lit-fic",4,3.83,427,2007,"9/1/2019",9,1,2019,"2019/01/24","#f4a582",0.17
"197",197,"The Place on Dalhousie","Melina Marchetta","Lit-fic",4,4.16,288,2019,"9/1/2019",9,1,2019,"2018/12/09","#f4a582",-0.16
"198",198,"The Perfect Nanny","Leïla Slimani","Lit-fic",4,3.39,228,2016,"9/1/2019",9,1,2019,"2018/12/25","#f4a582",0.61
"199",199,"Evening in Paradise: More Stories","Lucia Berlin","Lit-fic",4,3.94,244,1981,"7/20/2019",7,20,2019,"2018/12/24","#0571b0",0.06
"200",200,"The Runaways","Bhutto Fatima","Lit-fic",3,3.37,432,2019,"6/27/2019",6,27,2019,"2019/05/05","#0571b0",-0.37
"201",201,"Strange Weather in Tokyo","Hiromi Kawakami","Lit-fic",4,3.72,176,2001,"6/7/2019",6,7,2019,"2019/06/02","#0571b0",0.28
"202",202,"My Absolute Darling","Gabriel Tallent","Lit-fic",3,3.61,417,2017,"6/2/2019",6,2,2019,"2019/05/30","#0571b0",-0.61
"203",203,"Kitchen","Banana Yoshimoto","Lit-fic",5,3.89,160,1988,"5/18/2019",5,18,2019,"2019/05/18","#92c5de",1.11
"204",204,"The Wife","Meg Wolitzer","Lit-fic",3,3.69,219,2003,"5/16/2019",5,16,2019,"2019/05/16","#92c5de",-0.69
"205",205,"Convenience Store Woman","Sayaka Murata","Lit-fic",5,3.7,163,2016,"5/12/2019",5,12,2019,"2018/12/24","#92c5de",1.3
"206",206,"Tokyo Vice: An American Reporter on the Police Beat in Japan","Jake Adelstein","Non-fiction",4,3.91,335,2009,"5/11/2019",5,11,2019,"2018/02/23","#92c5de",0.09
"207",207,"Bad Blood: Secrets and Lies in a Silicon Valley Startup","John Carreyrou","Non-fiction",5,4.41,339,2018,"4/28/2019",4,28,2019,"2019/03/19","#92c5de",0.59
"208",208,"The Bricks that Built the Houses","Kae Tempest","Lit-fic",4,3.8,416,2016,"4/23/2019",4,23,2019,"2019/04/23","#92c5de",0.2
"209",209,"My Sister, the Serial Killer","Oyinkan Braithwaite","Lit-fic",3,3.68,226,2018,"4/24/2019",4,24,2019,"2019/01/24","#92c5de",-0.68
"210",210,"The Wind-Up Bird Chronicle","Haruki Murakami","Lit-fic",5,4.15,607,1994,"4/23/2019",4,23,2019,"2019/03/21","#92c5de",0.85
"211",211,"You Think It, I'll Say It","Curtis Sittenfeld","Lit-fic",5,3.66,256,2017,"3/21/2019",3,21,2019,"2018/06/29","#92c5de",1.34
"212",212,"My Year of Rest and Relaxation","Ottessa Moshfegh","Lit-fic",4,3.66,289,2018,"3/16/2019",3,16,2019,"2018/12/04","#92c5de",0.34
"213",213,"A Manual for Cleaning Women: Selected Stories","Lucia Berlin","Lit-fic",5,4.2,406,2015,"3/6/2019",3,6,2019,"2018/12/24","#92c5de",0.8
"214",214,"Enigma Variations","André Aciman","Lit-fic",4,3.65,266,2017,"2/22/2019",2,22,2019,"2019/02/07","#ca0020",0.35
"215",215,"There There","Tommy Orange","Lit-fic",5,3.98,294,2018,"2/7/2019",2,7,2019,"2018/12/04","#ca0020",1.02
"216",216,"The Penelopiad","Margaret Atwood","Lit-fic",3,3.72,198,2005,"1/28/2019",1,28,2019,"2019/01/27","#ca0020",-0.72
"217",217,"The Silence of the Girls (Women of Troy, #1)","Pat Barker","Lit-fic",5,3.9,325,2018,"1/27/2019",1,27,2019,"2018/10/17","#ca0020",1.1
"218",218,"Any Ordinary Day","Leigh Sales","Non-fiction",4,4.13,244,2018,"1/24/2019",1,24,2019,"2019/01/24","#ca0020",-0.13
"219",219,"One Hundred Years of Dirt","Rick  Morton","Non-fiction",4,4.07,277,2018,"1/15/2019",1,15,2019,"2018/08/30","#ca0020",-0.07
"220",220,"A Little Life","Hanya Yanagihara","Lit-fic",5,4.34,720,2015,"1/13/2019",1,13,2019,"2018/12/31","#ca0020",0.66
"221",221,"When Breath Becomes Air","Paul Kalanithi","Non-fiction",5,4.4,208,2016,"12/29/2018",12,29,2018,"2018/12/28","#ca0020",0.6
"222",222,"The Handmaid’s Tale (The Handmaid's Tale, #1)","Margaret Atwood","Lit-fic",5,4.13,314,1985,"12/27/2018",12,27,2018,"2018/12/25","#ca0020",0.87
"223",223,"An American Marriage","Tayari Jones","Lit-fic",4,3.94,308,2018,"12/23/2018",12,23,2018,"2018/04/05","#ca0020",0.06
"224",224,"HOMO sapienne","Niviaq Korneliussen","Lit-fic",2,3.59,182,2014,"12/16/2018",12,16,2018,"2018/12/16","#ca0020",-1.59
"225",225,"This is the Story of a Happy Marriage","Ann Patchett","Lit-fic",4,4,308,2013,"12/16/2018",12,16,2018,"2018/02/23","#ca0020",0
"226",226,"Homesick for Another World","Ottessa Moshfegh","Lit-fic",3,3.63,294,2017,"12/15/2018",12,15,2018,"2018/03/06","#ca0020",-0.63
"227",227,"House of Names","Colm Tóibín","Lit-fic",4,3.58,272,2017,"12/9/2018",12,9,2018,"2018/10/22","#ca0020",0.42
"228",228,"Axiomatic","Maria Tumarkin","Lit-fic",5,4.1,142,2018,"12/4/2018",12,4,2018,"2018/11/25","#ca0020",0.9
"229",229,"The Girls at the Kingfisher Club","Genevieve Valentine","Lit-fic",3,3.8,277,2014,"11/24/2018",11,24,2018,"2018/08/18","#f4a582",-0.8
"230",230,"Educated","Tara Westover","Non-fiction",5,4.47,352,2018,"11/20/2018",11,20,2018,"2018/11/17","#f4a582",0.53
"231",231,"The Hate U Give (The Hate U Give, #1)","Angie Thomas","Lit-fic",5,4.48,454,2017,"11/14/2018",11,14,2018,"2018/10/29","#f4a582",0.52
"232",232,"The Lost Man","Jane Harper","Lit-fic",5,4.16,340,2018,"10/28/2018",10,28,2018,"2018/09/30","#f4a582",0.84
"233",233,"Independent People","Halldór Laxness","Lit-fic",4,4.14,482,1934,"10/19/2018",10,19,2018,"2018/06/19","#f4a582",-0.14
"234",234,"Mr. Fox","Helen Oyeyemi","Lit-fic",4,3.57,278,2011,"10/12/2018",10,12,2018,"2018/05/02","#f4a582",0.43
"235",235,"Nine Perfect Strangers","Liane Moriarty","Lit-fic",4,3.55,453,2018,"10/11/2018",10,11,2018,"2018/10/11","#f4a582",0.45
"236",236,"Asymmetry","Lisa Halliday","Lit-fic",5,3.43,277,2018,"10/7/2018",10,7,2018,"2018/03/06","#f4a582",1.57
"237",237,"Balcony Over Jerusalem: A Middle East Memoir","John Lyons","Non-fiction",5,4.3,384,NA,"10/2/2018",10,2,2018,"2018/09/29","#f4a582",0.7
"238",238,"Normal People","Sally Rooney","Lit-fic",4,3.81,266,2018,"9/27/2018",9,27,2018,"2018/07/23","#f4a582",0.19
"239",239,"The Song of Achilles","Madeline Miller","Lit-fic",5,4.34,352,2011,"9/22/2018",9,22,2018,"2018/06/19","#f4a582",0.66
"240",240,"Boy Swallows Universe","Trent Dalton","Lit-fic",5,4.34,464,2018,"9/22/2018",9,22,2018,"2018/08/30","#f4a582",0.66
"241",241,"Run for Your Life","Bob Carr","Non-fiction",3,3.79,299,NA,"9/9/2018",9,9,2018,"2018/09/04","#f4a582",-0.79
"242",242,"Rich People Problems (Crazy Rich Asians, #3)","Kevin Kwan","Lit-fic",5,3.95,398,2017,"9/4/2018",9,4,2018,"2018/09/04","#f4a582",1.05
"243",243,"China Rich Girlfriend (Crazy Rich Asians, #2)","Kevin Kwan","Lit-fic",5,3.84,378,2015,"8/30/2018",8,30,2018,"2018/08/30","#0571b0",1.16
"244",244,"Crazy Rich Asians (Crazy Rich Asians, #1)","Kevin Kwan","Lit-fic",5,3.9,403,2013,"8/30/2018",8,30,2018,"2018/08/30","#0571b0",1.1
"245",245,"Force of Nature (Aaron Falk, #2)","Jane Harper","Mystery",5,3.84,326,2017,"8/11/2018",8,11,2018,"2018/08/09","#0571b0",1.16
"246",246,"White Tears","Hari Kunzru","Lit-fic",5,3.68,271,2017,"8/7/2018",8,7,2018,"2018/02/23","#0571b0",1.32
"247",247,"The Vanity Fair Diaries: 1983 - 1992","Tina Brown","Non-fiction",5,3.75,435,2017,"8/1/2018",8,1,2018,"2018/02/23","#0571b0",1.25
"248",248,"I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer","Michelle McNamara","Non-fiction",5,4.12,352,2018,"8/1/2018",8,1,2018,"2018/07/22","#0571b0",0.88
"249",249,"Station Eleven","Emily St. John Mandel","Science fiction",3,4.07,333,2014,"7/22/2018",7,22,2018,"2018/05/02","#0571b0",-1.07
"250",250,"Circe","Madeline Miller","Lit-fic",4,4.24,393,2018,"6/19/2018",6,19,2018,"2018/06/19","#0571b0",-0.24
"251",251,"Kudos","Rachel Cusk","Lit-fic",3,3.91,236,2018,"6/19/2018",6,19,2018,"2018/06/19","#0571b0",-0.91
"252",252,"Transit","Rachel Cusk","Lit-fic",4,3.97,260,2016,"6/12/2018",6,12,2018,"2018/06/12","#0571b0",0.03
"253",253,"The Dry (Aaron Falk, #1)","Jane Harper","Mystery",4,4.06,336,2016,"6/6/2018",6,6,2018,"2018/06/05","#0571b0",-0.06
"254",254,"Less","Andrew Sean Greer","Lit-fic",2,3.64,272,2017,"6/5/2018",6,5,2018,"2018/04/17","#0571b0",-1.64
"255",255,"Anatomy of a Scandal","Sarah Vaughan","Lit-fic",3,3.68,392,2018,"6/3/2018",6,3,2018,"2018/02/23","#0571b0",-0.68
"256",256,"Outline","Rachel Cusk","Lit-fic",4,3.68,249,2014,"5/28/2018",5,28,2018,"2018/03/06","#92c5de",0.32
"257",257,"Sourdough","Robin Sloan","Lit-fic",3,3.76,259,2017,"5/25/2018",5,25,2018,"2018/05/02","#92c5de",-0.76
"258",258,"The Green Road","Anne Enright","Lit-fic",4,3.5,336,2015,"5/25/2018",5,25,2018,"2018/02/23","#92c5de",0.5
"259",259,"The Vegetarian","Han Kang","Lit-fic",4,3.58,188,2007,"5/1/2018",5,1,2018,"2018/03/06","#92c5de",0.42
"260",260,"The Narrow Road to the Deep North","Richard Flanagan","Lit-fic",5,4.02,467,2013,"4/27/2018",4,27,2018,"2018/04/24","#92c5de",0.98
"261",261,"Pachinko","Min Jin Lee","Lit-fic",5,4.33,490,2017,"4/20/2018",4,20,2018,"2018/04/05","#92c5de",0.67
"262",262,"Why I'm No Longer Talking to White People About Race","Reni Eddo-Lodge","Non-fiction",5,4.38,249,2017,"4/11/2018",4,11,2018,"2018/02/23","#92c5de",0.62
"263",263,"Her Body and Other Parties: Stories","Carmen Maria Machado","Lit-fic",5,3.85,248,2017,"3/31/2018",3,31,2018,"2018/02/23","#92c5de",1.15
"264",264,"Little Fires Everywhere","Celeste Ng","Lit-fic",4,4.08,338,2017,"3/31/2018",3,31,2018,"2018/02/23","#92c5de",-0.08
"265",265,"Swing Time","Zadie Smith","Lit-fic",5,3.56,453,2016,"3/22/2018",3,22,2018,"2018/02/23","#92c5de",1.44
"266",266,"Purple Hibiscus","Chimamanda Ngozi Adichie","Lit-fic",5,4.18,336,2003,"3/18/2018",3,18,2018,"2018/03/12","#92c5de",0.82
